team,year,venue,lat,lon,matches,runs,fours,sixes,two_hundreds,ten_wickets,wickets,wins,toss_wins,abb
Delhi Capitals,2009,Newlands,55.8171461,-4.2804376,1,58,6,3,0,0,7,1,1,delhi
Delhi Capitals,2009,OUTsurance Oval,-29.116678,26.205269,2,270,17,3,0,0,13,1,1,delhi
Delhi Capitals,2009,St George's Park,-33.965769550000005,25.60733242183312,1,150,10,4,0,0,7,1,0,delhi
Delhi Capitals,2009,SuperSport Park,-25.85962375,28.195644468871414,4,612,59,17,0,0,26,2,3,delhi
Delhi Capitals,2010,Arun Jaitley Stadium,28.637731549999998,77.24309341201518,7,1099,99,35,0,1,50,3,6,delhi
Delhi Capitals,2010,Barabati Stadium,20.48070435,85.86852541310051,1,161,13,6,0,0,6,0,0,delhi
Delhi Capitals,2010,Brabourne Stadium,18.9320101,72.82501261609113,1,144,11,2,0,0,4,0,0,delhi
Delhi Capitals,2010,Eden Gardens,22.564561349999998,88.34424156337812,1,167,16,4,0,0,3,0,0,delhi
Delhi Capitals,2010,M Chinnaswamy Stadium,12.9788243,77.60038607501548,1,183,15,5,0,0,9,1,0,delhi
Delhi Capitals,2010,Ma Chidambaram Stadium,13.0626873,80.27922739309865,1,113,8,0,0,0,9,1,0,delhi
Delhi Capitals,2010,Narendra Modi Stadium,23.0917717,72.59733447335586,1,142,12,5,0,0,6,1,1,delhi
Delhi Capitals,2010,Punjab Cricket Association Stadium,30.6909,76.7375,1,146,16,1,0,0,9,1,1,delhi
Delhi Capitals,2011,Arun Jaitley Stadium,28.637731549999998,77.24309341201518,7,965,82,33,1,0,29,1,3,delhi
Delhi Capitals,2011,Dr DY Patil Sports Academy,19.0421,73.0267,1,190,16,9,0,0,5,1,1,delhi
Delhi Capitals,2011,Himachal Pradesh Cricket Association Stadium,32.1975918,76.32503371593408,1,141,13,6,0,0,6,0,1,delhi
Delhi Capitals,2011,Ma Chidambaram Stadium,13.0626873,80.27922739309865,1,158,11,6,0,0,4,0,0,delhi
Delhi Capitals,2011,Nehru Stadium,9.59621265,76.5261459003151,1,157,12,7,0,1,10,1,1,delhi
Delhi Capitals,2011,Rajiv Gandhi International Stadium,19.028544850000003,73.04427053955325,1,179,17,7,0,0,5,1,1,delhi
Delhi Capitals,2011,Sawai Mansingh Stadium,26.8939911,75.80322693888199,1,151,14,6,0,0,4,0,1,delhi
Delhi Capitals,2011,Wankhede Stadium,18.9385497,72.82574081674653,1,146,20,1,0,0,4,0,1,delhi
Delhi Capitals,2012,Arun Jaitley Stadium,28.637731549999998,77.24309341201518,8,1291,119,50,1,0,44,5,5,delhi
Delhi Capitals,2012,Eden Gardens,22.564561349999998,88.34424156337812,1,100,8,4,0,0,9,1,1,delhi
Delhi Capitals,2012,Himachal Pradesh Cricket Association Stadium,32.1975918,76.32503371593408,1,145,15,7,0,0,8,1,1,delhi
Delhi Capitals,2012,M Chinnaswamy Stadium,12.9788243,77.60038607501548,1,137,13,2,0,0,8,0,1,delhi
Delhi Capitals,2012,Ma Chidambaram Stadium,13.0626873,80.27922739309865,2,250,11,10,0,0,6,0,1,delhi
Delhi Capitals,2012,Maharashtra Cricket Association Stadium,18.6738164,73.7064113964208,2,292,28,8,0,0,6,1,0,delhi
Delhi Capitals,2012,Rajiv Gandhi International Stadium,19.028544850000003,73.04427053955325,1,193,13,12,0,0,4,1,0,delhi
Delhi Capitals,2012,Sawai Mansingh Stadium,26.8939911,75.80322693888199,1,144,18,3,0,0,6,1,0,delhi
Delhi Capitals,2012,Wankhede Stadium,18.9385497,72.82574081674653,1,93,7,1,0,1,10,1,1,delhi
Delhi Capitals,2013,Arun Jaitley Stadium,28.637731549999998,77.24309341201518,6,821,80,15,0,0,31,1,2,delhi
Delhi Capitals,2013,Eden Gardens,22.564561349999998,88.34424156337812,1,128,15,1,0,0,4,0,0,delhi
Delhi Capitals,2013,Himachal Pradesh Cricket Association Stadium,32.1975918,76.32503371593408,1,164,15,7,0,0,4,0,1,delhi
Delhi Capitals,2013,M Chinnaswamy Stadium,12.9788243,77.60038607501548,1,163,18,3,0,0,7,0,0,delhi
Delhi Capitals,2013,Ma Chidambaram Stadium,13.0626873,80.27922739309865,1,135,8,4,0,0,4,0,0,delhi
Delhi Capitals,2013,Maharashtra Cricket Association Stadium,18.6738164,73.7064113964208,1,134,12,2,0,0,5,0,0,delhi
Delhi Capitals,2013,Rajiv Gandhi International Stadium,19.028544850000003,73.04427053955325,1,80,4,1,0,0,4,0,1,delhi
Delhi Capitals,2013,Sawai Mansingh Stadium,26.8939911,75.80322693888199,1,154,19,2,0,0,1,0,1,delhi
Delhi Capitals,2013,Shaheed Veer Narayan Singh International Stadium,21.203402949999997,81.82302432017622,2,301,25,12,0,0,11,2,0,delhi
Delhi Capitals,2013,Wankhede Stadium,18.9385497,72.82574081674653,1,165,15,5,0,0,5,0,0,delhi
Delhi Capitals,2014,Arun Jaitley Stadium,28.637731549999998,77.24309341201518,5,797,69,28,0,0,15,0,1,delhi
Delhi Capitals,2014,Dubai International Cricket Stadium,25.046738400000002,55.219006962225635,2,347,31,12,0,0,6,1,0,delhi
Delhi Capitals,2014,M Chinnaswamy Stadium,12.9788243,77.60038607501548,1,170,11,8,0,0,4,0,1,delhi
Delhi Capitals,2014,Narendra Modi Stadium,23.0917717,72.59733447335586,1,139,12,3,0,0,6,0,1,delhi
Delhi Capitals,2014,Punjab Cricket Association Stadium,30.6909,76.7375,1,115,15,0,0,0,3,0,0,delhi
Delhi Capitals,2014,Sharjah Cricket Stadium,25.33078055,55.42090675730459,2,271,19,6,0,0,9,1,0,delhi
Delhi Capitals,2014,Wankhede Stadium,18.9385497,72.82574081674653,1,158,13,6,0,1,10,0,1,delhi
Delhi Capitals,2014,Zayed Cricket Stadium,24.396574299999997,54.54074782546465,1,84,7,0,0,0,7,0,0,delhi
Delhi Capitals,2015,Arun Jaitley Stadium,28.637731549999998,77.24309341201518,5,734,57,31,0,0,28,2,1,delhi
Delhi Capitals,2015,Brabourne Stadium,18.9320101,72.82501261609113,1,175,13,8,0,0,2,0,1,delhi
Delhi Capitals,2015,Eden Gardens,22.564561349999998,88.34424156337812,1,158,14,7,0,0,7,0,0,delhi
